language,newspaper,article_id,publish_date,entity,entity_exact_word,type,occurrence,paragraph_text,one_step_llm_sentiment,one_step_llm_sentiment_score,two_step_llm_paragraph_type,two_step_llm_sentiment_score,human_label_sentiment,Ons-step
chinese,am730,am730_09,2020-05-21,保安局,保安局,HK_ORG_2a,1,(林俊源攝) 警員常被質疑應對反修例示威時的執法情況，保安局長李家超(圖)昨到立法會接受質詢，透露2015至2019年間，警隊有362人輕微違紀，235人受紀律研訊，當中30人被革職、勒令退休或辭職，刑事定罪則有100人，當中55人被革職等安排。反修例風波以來，有22名警員被訓斥，警方亦就其中4宗展開紀律覆檢；投訴警察課接獲19宗投訴。 民主黨尹兆堅質問李家超是否繼續「鴕鳥」，對警員違規違法行為埋沒良心地縱容。李家超則反駁出賣良心的是議員，指「數字係有懲處唔可以話無」，當局公平公正處理投訴，斥說法誤導市民，並指「你咪去投訴囉，理直氣壯嘅人應該去投訴」。 另外，監警會上周公布報告，李家超稱坊間部分批評對報告誤導及偏頗，而他督導的專責小組下周召開首次會議，跟進報告的52項建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,evaluative,0,neutral,
chinese,am730,am730_09,2020-05-21,反送中,反修例,HK_EVENT_3,2,(林俊源攝) 警員常被質疑應對反修例示威時的執法情況，保安局長李家超(圖)昨到立法會接受質詢，透露2015至2019年間，警隊有362人輕微違紀，235人受紀律研訊，當中30人被革職、勒令退休或辭職，刑事定罪則有100人，當中55人被革職等安排。反修例風波以來，有22名警員被訓斥，警方亦就其中4宗展開紀律覆檢；投訴警察課接獲19宗投訴。 民主黨尹兆堅質問李家超是否繼續「鴕鳥」，對警員違規違法行為埋沒良心地縱容。李家超則反駁出賣良心的是議員，指「數字係有懲處唔可以話無」，當局公平公正處理投訴，斥說法誤導市民，並指「你咪去投訴囉，理直氣壯嘅人應該去投訴」。 另外，監警會上周公布報告，李家超稱坊間部分批評對報告誤導及偏頗，而他督導的專責小組下周召開首次會議，跟進報告的52項建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,evaluative,-0.3,neutral,
chinese,am730,am730_09,2020-05-21,李家超,李家超,HK_PERSON_1a,4,(林俊源攝) 警員常被質疑應對反修例示威時的執法情況，保安局長李家超(圖)昨到立法會接受質詢，透露2015至2019年間，警隊有362人輕微違紀，235人受紀律研訊，當中30人被革職、勒令退休或辭職，刑事定罪則有100人，當中55人被革職等安排。反修例風波以來，有22名警員被訓斥，警方亦就其中4宗展開紀律覆檢；投訴警察課接獲19宗投訴。 民主黨尹兆堅質問李家超是否繼續「鴕鳥」，對警員違規違法行為埋沒良心地縱容。李家超則反駁出賣良心的是議員，指「數字係有懲處唔可以話無」，當局公平公正處理投訴，斥說法誤導市民，並指「你咪去投訴囉，理直氣壯嘅人應該去投訴」。 另外，監警會上周公布報告，李家超稱坊間部分批評對報告誤導及偏頗，而他督導的專責小組下周召開首次會議，跟進報告的52項建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,evaluative,0,negative,
chinese,am730,am730_09,2020-05-21,民主黨,民主黨,HK_CONCEPT_5e,1,(林俊源攝) 警員常被質疑應對反修例示威時的執法情況，保安局長李家超(圖)昨到立法會接受質詢，透露2015至2019年間，警隊有362人輕微違紀，235人受紀律研訊，當中30人被革職、勒令退休或辭職，刑事定罪則有100人，當中55人被革職等安排。反修例風波以來，有22名警員被訓斥，警方亦就其中4宗展開紀律覆檢；投訴警察課接獲19宗投訴。 民主黨尹兆堅質問李家超是否繼續「鴕鳥」，對警員違規違法行為埋沒良心地縱容。李家超則反駁出賣良心的是議員，指「數字係有懲處唔可以話無」，當局公平公正處理投訴，斥說法誤導市民，並指「你咪去投訴囉，理直氣壯嘅人應該去投訴」。 另外，監警會上周公布報告，李家超稱坊間部分批評對報告誤導及偏頗，而他督導的專責小組下周召開首次會議，跟進報告的52項建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,evaluative,-0.3,neutral,
chinese,am730,am730_09,2020-05-21,監警會,監警會,HK_ORG_2a,1,(林俊源攝) 警員常被質疑應對反修例示威時的執法情況，保安局長李家超(圖)昨到立法會接受質詢，透露2015至2019年間，警隊有362人輕微違紀，235人受紀律研訊，當中30人被革職、勒令退休或辭職，刑事定罪則有100人，當中55人被革職等安排。反修例風波以來，有22名警員被訓斥，警方亦就其中4宗展開紀律覆檢；投訴警察課接獲19宗投訴。 民主黨尹兆堅質問李家超是否繼續「鴕鳥」，對警員違規違法行為埋沒良心地縱容。李家超則反駁出賣良心的是議員，指「數字係有懲處唔可以話無」，當局公平公正處理投訴，斥說法誤導市民，並指「你咪去投訴囉，理直氣壯嘅人應該去投訴」。 另外，監警會上周公布報告，李家超稱坊間部分批評對報告誤導及偏頗，而他督導的專責小組下周召開首次會議，跟進報告的52項建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,evaluative,0,neutral,
chinese,am730,am730_09,2020-05-21,示威,示威,HK_CONCEPT_5d,1,(林俊源攝) 警員常被質疑應對反修例示威時的執法情況，保安局長李家超(圖)昨到立法會接受質詢，透露2015至2019年間，警隊有362人輕微違紀，235人受紀律研訊，當中30人被革職、勒令退休或辭職，刑事定罪則有100人，當中55人被革職等安排。反修例風波以來，有22名警員被訓斥，警方亦就其中4宗展開紀律覆檢；投訴警察課接獲19宗投訴。 民主黨尹兆堅質問李家超是否繼續「鴕鳥」，對警員違規違法行為埋沒良心地縱容。李家超則反駁出賣良心的是議員，指「數字係有懲處唔可以話無」，當局公平公正處理投訴，斥說法誤導市民，並指「你咪去投訴囉，理直氣壯嘅人應該去投訴」。 另外，監警會上周公布報告，李家超稱坊間部分批評對報告誤導及偏頗，而他督導的專責小組下周召開首次會議，跟進報告的52項建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,evaluative,0,neutral,
chinese,am730,am730_09,2020-05-21,警隊,警員 | 警隊 | 警方 | 警察,HK_ORG_2a,6,(林俊源攝) 警員常被質疑應對反修例示威時的執法情況，保安局長李家超(圖)昨到立法會接受質詢，透露2015至2019年間，警隊有362人輕微違紀，235人受紀律研訊，當中30人被革職、勒令退休或辭職，刑事定罪則有100人，當中55人被革職等安排。反修例風波以來，有22名警員被訓斥，警方亦就其中4宗展開紀律覆檢；投訴警察課接獲19宗投訴。 民主黨尹兆堅質問李家超是否繼續「鴕鳥」，對警員違規違法行為埋沒良心地縱容。李家超則反駁出賣良心的是議員，指「數字係有懲處唔可以話無」，當局公平公正處理投訴，斥說法誤導市民，並指「你咪去投訴囉，理直氣壯嘅人應該去投訴」。 另外，監警會上周公布報告，李家超稱坊間部分批評對報告誤導及偏頗，而他督導的專責小組下周召開首次會議，跟進報告的52項建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,evaluative,0,negative,
chinese,am730,am730_10,2017-04-19,公民黨,公民黨,HK_CONCEPT_5e,3,民主黨主席胡志偉接受報章專訪，建議成立獨立委員會調查佔領運動成因，以及新政府可特赦佔領行動所有參與者，以及涉及「7警案」的警員和退休警司朱經緯，換取「大和解」。惟其建議受到泛民和建制派一面倒反對，他昨晚召開黨團會議後深切道歉，並收回有關言論，並強調只是個人看法，發表前未曾在黨內討論。候任特首林鄭月娥透過候任特首辦回應指，相關司法程序仍在進行，現時不適宜就個別案件作出評論。 胡志偉昨早接受電台訪問時澄清，特赦建議只是其個人看法，要再在民主黨中委會討論是否可行。他認為，佔領運動是社會撕裂的分水嶺，政府應以政治手段解決政治問題，而非只靠法律手段懲治，否則問題會無休止繼續。他強調，建議特赦佔中人士或減輕刑責，不是政治交換。 以特赦促進「大和解」的建議，不獲包括民主黨在內的泛民主派和建制派認同。胡志偉昨晚召開黨團會議後，承認a言論未有深思熟慮及經黨內討論，對建議引發社會的爭議和困擾深表歉意，並收回有關言論。他重申，解決社會撕裂和尋求和解，必須撤回人大8.31決議，重啟政改。 李永達 陳淑莊準備承擔法律後果 因佔領運動被檢控的民主黨李永達認為，「大和解」並非建基於特赦，而是建基於中央的想法，而他個人已有坐監的準備。同樣被檢控的公民黨議員陳淑莊，亦對有關建議有保留，認為新政府要修補撕裂和重建互信，應實現真普選；她又說，參與公民運動便有承擔法律後果準備。 有關報道又引述公民黨黨魁楊岳橋認同，若新政府無條件特赦，反映政府以最大誠意修補撕裂，但他昨日亦澄清這只屬其個人意見，未經公民黨充分討論。楊形容特赦是「雙面刃」，若特赦最終變為換取掌聲的政治手段及欠缺社會共識，實非好事。該黨法律界立法會議員郭榮鏗表示，本港是法治社會，需要尊重法治和法庭的審訊過程，特赦不能隨便使用，而且現時討論特赦屬言之尚早，未必符合法律原則和基礎，亦未必能夠做到「大和解」。 一眾本土派和進步民主派議員，包括香港眾志羅冠聰、人民力量陳志全和朱凱廸皆表明反對。羅冠聰批評在民主來臨前主張和解，以及與政權休戰，是不負責任的行為。而社民連梁國雄則表示，只贊成政府成立專責委員會調查佔領運動的來龍去脈。 建制派批評特赦損害法治 民建聯主席李慧琼直指，特赦會損害法治，必須審慎討論，而且擔心特赦會令社會有錯誤訊息，以及政府認同以激進及違法手段爭取政治目的。經民聯林健鋒亦指，本港需要按照法律行事，不認同有關建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,neutral,0,factual,0,neutral,
chinese,am730,am730_10,2017-04-19,建制派,建制派,HK_CONCEPT_5e,3,民主黨主席胡志偉接受報章專訪，建議成立獨立委員會調查佔領運動成因，以及新政府可特赦佔領行動所有參與者，以及涉及「7警案」的警員和退休警司朱經緯，換取「大和解」。惟其建議受到泛民和建制派一面倒反對，他昨晚召開黨團會議後深切道歉，並收回有關言論，並強調只是個人看法，發表前未曾在黨內討論。候任特首林鄭月娥透過候任特首辦回應指，相關司法程序仍在進行，現時不適宜就個別案件作出評論。 胡志偉昨早接受電台訪問時澄清，特赦建議只是其個人看法，要再在民主黨中委會討論是否可行。他認為，佔領運動是社會撕裂的分水嶺，政府應以政治手段解決政治問題，而非只靠法律手段懲治，否則問題會無休止繼續。他強調，建議特赦佔中人士或減輕刑責，不是政治交換。 以特赦促進「大和解」的建議，不獲包括民主黨在內的泛民主派和建制派認同。胡志偉昨晚召開黨團會議後，承認a言論未有深思熟慮及經黨內討論，對建議引發社會的爭議和困擾深表歉意，並收回有關言論。他重申，解決社會撕裂和尋求和解，必須撤回人大8.31決議，重啟政改。 李永達 陳淑莊準備承擔法律後果 因佔領運動被檢控的民主黨李永達認為，「大和解」並非建基於特赦，而是建基於中央的想法，而他個人已有坐監的準備。同樣被檢控的公民黨議員陳淑莊，亦對有關建議有保留，認為新政府要修補撕裂和重建互信，應實現真普選；她又說，參與公民運動便有承擔法律後果準備。 有關報道又引述公民黨黨魁楊岳橋認同，若新政府無條件特赦，反映政府以最大誠意修補撕裂，但他昨日亦澄清這只屬其個人意見，未經公民黨充分討論。楊形容特赦是「雙面刃」，若特赦最終變為換取掌聲的政治手段及欠缺社會共識，實非好事。該黨法律界立法會議員郭榮鏗表示，本港是法治社會，需要尊重法治和法庭的審訊過程，特赦不能隨便使用，而且現時討論特赦屬言之尚早，未必符合法律原則和基礎，亦未必能夠做到「大和解」。 一眾本土派和進步民主派議員，包括香港眾志羅冠聰、人民力量陳志全和朱凱廸皆表明反對。羅冠聰批評在民主來臨前主張和解，以及與政權休戰，是不負責任的行為。而社民連梁國雄則表示，只贊成政府成立專責委員會調查佔領運動的來龍去脈。 建制派批評特赦損害法治 民建聯主席李慧琼直指，特赦會損害法治，必須審慎討論，而且擔心特赦會令社會有錯誤訊息，以及政府認同以激進及違法手段爭取政治目的。經民聯林健鋒亦指，本港需要按照法律行事，不認同有關建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,negative,-0.5,factual,0,neutral,
chinese,am730,am730_10,2017-04-19,本土派,本土派,HK_CONCEPT_5e,1,民主黨主席胡志偉接受報章專訪，建議成立獨立委員會調查佔領運動成因，以及新政府可特赦佔領行動所有參與者，以及涉及「7警案」的警員和退休警司朱經緯，換取「大和解」。惟其建議受到泛民和建制派一面倒反對，他昨晚召開黨團會議後深切道歉，並收回有關言論，並強調只是個人看法，發表前未曾在黨內討論。候任特首林鄭月娥透過候任特首辦回應指，相關司法程序仍在進行，現時不適宜就個別案件作出評論。 胡志偉昨早接受電台訪問時澄清，特赦建議只是其個人看法，要再在民主黨中委會討論是否可行。他認為，佔領運動是社會撕裂的分水嶺，政府應以政治手段解決政治問題，而非只靠法律手段懲治，否則問題會無休止繼續。他強調，建議特赦佔中人士或減輕刑責，不是政治交換。 以特赦促進「大和解」的建議，不獲包括民主黨在內的泛民主派和建制派認同。胡志偉昨晚召開黨團會議後，承認a言論未有深思熟慮及經黨內討論，對建議引發社會的爭議和困擾深表歉意，並收回有關言論。他重申，解決社會撕裂和尋求和解，必須撤回人大8.31決議，重啟政改。 李永達 陳淑莊準備承擔法律後果 因佔領運動被檢控的民主黨李永達認為，「大和解」並非建基於特赦，而是建基於中央的想法，而他個人已有坐監的準備。同樣被檢控的公民黨議員陳淑莊，亦對有關建議有保留，認為新政府要修補撕裂和重建互信，應實現真普選；她又說，參與公民運動便有承擔法律後果準備。 有關報道又引述公民黨黨魁楊岳橋認同，若新政府無條件特赦，反映政府以最大誠意修補撕裂，但他昨日亦澄清這只屬其個人意見，未經公民黨充分討論。楊形容特赦是「雙面刃」，若特赦最終變為換取掌聲的政治手段及欠缺社會共識，實非好事。該黨法律界立法會議員郭榮鏗表示，本港是法治社會，需要尊重法治和法庭的審訊過程，特赦不能隨便使用，而且現時討論特赦屬言之尚早，未必符合法律原則和基礎，亦未必能夠做到「大和解」。 一眾本土派和進步民主派議員，包括香港眾志羅冠聰、人民力量陳志全和朱凱廸皆表明反對。羅冠聰批評在民主來臨前主張和解，以及與政權休戰，是不負責任的行為。而社民連梁國雄則表示，只贊成政府成立專責委員會調查佔領運動的來龍去脈。 建制派批評特赦損害法治 民建聯主席李慧琼直指，特赦會損害法治，必須審慎討論，而且擔心特赦會令社會有錯誤訊息，以及政府認同以激進及違法手段爭取政治目的。經民聯林健鋒亦指，本港需要按照法律行事，不認同有關建議。 ADVERTISEMENT 立即關注👉 AM730 健康 Youtube Channel 健康事 HealthKeys 了解更多,negative,-0.5,factual,0,neutral,
